2,Александр Калугин                                 ,2400,1963
3,Михаил Головкин                                   ,2500,1943
4,Константин Самойлов                               ,2600,1943
5,Алексей Афанасьев                                 ,2000,2020
6,Мария Карповец                                    ,2300,2002
7,Даниил Сафронов                                   ,2600,1977
8,Александр Оцел                                    ,2931,2003
9,Михаил Елизаров                                   ,1600,1968
10,Релтиг Фьлода                                     ,3129,1901
11,Максим Шибин                                      ,1239,2001
12,Магнус Карлсен                                    ,3010,1989
1,Никита Лялько                                     ,2300,1945
